V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,id,intro,text1,Q1,Q3,text2,Q4,Q5,text3,Q9,Q10,Q11,Q12,Q13,Q14,text4,Q15,Q16,Q18,Q19,Q20,Q25,Q27,Q29,Q32,Q39,Q40,Q42,Q45,Q47,Q49,Q50,Q51,Q52,Q54,Q56,Q57,text5,Q58,Q59,Q60,Q61,Q62,Q65,Q66,Q67,Q68,Q69,Q72,Q73,LO1,LO2,LO3,LO4,LO5,L06,LO7,LO8,LO9,LO10,LO11,LR1,LR2,LR3,LR4,LR5,LR6,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9,SB10,SB11,SB12,SB13,SB14,SB15,BF1,BF2,BF3,BF4,BF5,BF6,BF7,BF8,BF9,BF10,SA1,SA2,SA3,SA4,SA5,SA6,SA7,SA8,SOI1,SOI2,SOI3,SOI4,SOI5,SOI6,SOI7,SOI8,SOI9,ATOT1,ATOT2,ATOT3,ATOT4,ATOT5,ATOT6,ATOT7,ATOT8,ATOT9,ATOT10,Education,FamSES,Income,Age,Gender,Ethnicity,Kids_1,KidsHome_1,Map,US#1_1,US#1_2,US#1_3,US#1_4,US#1_5,US#1_6,US#1_7,US#1_8,US#1_9,US#1_10,US#1_11,US#1_12,US#1_13,US#1_14,US#1_15,US#1_16,US#1_17,US#1_18,US#1_19,US#1_20,US#1_21,US#1_22,US#1_23,US#1_24,US#1_25,US#1_26,US#1_27,US#1_28,US#1_29,US#1_30,US#1_31,US#1_32,US#1_33,US#1_34,US#1_35,US#1_36,US#1_37,US#1_38,US#1_39,US#1_40,US#1_41,US#1_42,US#1_43,US#1_44,US#1_45,US#1_46,US#1_47,US#1_48,US#1_49,US#1_50,Fav,FavPpl,FavActivity,LocationLatitude,LocationLongitude,LocationAccuracy
R_1zSEAi5kd9Umm09,Default Response Set,Anonymous,,,155.97.94.70,0,6/5/2017 14:50,6/5/2017 15:02,1,Utah_101,1,1,3,3,1,2,2,1,1,2,3,3,1,2,1,3,4,4,4,4,4,3,2,2,4,4,2,2,5,4,5,5,5,3,5,1,1,1,1,3,4,3,1,4,2,2,2,1,2,4,4,4,3,4,2,5,2,4,4,3,4,4,4,4,3,5,6,2,4,6,5,4,5,3,6,2,3,7,2,7,7,4,2,6,2,4,5,5,1,6,3,3,2,1,3,2,2,2,1,2,1,1,2,1,9,2,1,2,6,5,1,3,6,3,3,2,6,4,3,5,1,23,1,3,0,0,1,,,1,,1,1,,,,,1,1,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,1,,,1,Park,Wife,Play pickleball,40.7855072,-111.736702,-1
R_1Lik7PTeqlYdrQ7,Default Response Set,Anonymous,,,155.97.94.70,0,6/12/2017 12:50,6/12/2017 13:08,1,Utah_102,1,1,4,4,1,6,1,1,1,2,3,2,1,3,1,5,3,5,3,4,1,4,2,3,3,5,2,3,2,2,4,2,2,4,2,4,1,1,1,2,5,4,3,1,1,3,1,1,1,1,1,1,1,1,1,5,3,3,3,3,3,5,5,1,5,5,3,2,6,2,5,4,4,5,3,6,5,6,4,2,4,3,5,7,4,6,6,6,1,4,3,2,3,2,3,1,2,2,2,2,1,1,5,1,9,1,1,1,4,4,1,2,6,3,2,2,1,4,3,5,2,21,2,6,0,0,1,,,1,,1,1,,1,,,,1,,,,,,,,,,,1,,,1,,1,,1,,1,,,1,,1,1,,,,,1,1,,,1,,,1,Wherever family and friends are,family and friends,anything,40.7855072,-111.736702,-1
R_2AWE499TVKqa6pn,Default Response Set,Anonymous,,,155.97.94.70,0,6/26/2017 12:11,6/26/2017 12:29,1,Utah_104,1,1,2,4,1,3,1,1,1,1,3,5,1,5,1,4,5,3,5,3,5,5,1,4,1,1,3,3,2,1,2,2,1,1,1,4,1,1,1,1,4,1,4,4,5,5,5,5,5,4,4,1,1,2,1,2,1,2,2,1,4,5,4,5,4,4,2,4,1,2,3,7,1,4,1,7,7,2,7,5,3,5,1,7,5,4,1,5,1,3,2,3,4,3,3,3,3,2,3,2,1,1,8,5,8,2,2,2,1,4,2,5,2,1,5,4,1,6,3,5,8,35,2,3,2,2,1,1,,1,1,1,1,1,,1,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,,1,,1,1,,,,1,1,1,,,1,,1,1,home,family,relax,40.7855072,-111.736702,-1
R_1n1RC8nQDnHhRPC,Default Response Set,Anonymous,,,155.97.94.143,0,6/26/2017 12:55,6/26/2017 13:11,1,Utah_105,1,1,7,4,1,5,2,1,1,2,3,2,1,2,1,5,4,5,4,5,4,4,1,2,4,5,5,5,4,5,4,5,5,5,4,2,1,1,2,4,4,2,2,1,2,2,4,1,4,5,5,2,2,4,3,5,3,4,5,4,3,5,5,2,2,5,5,3,7,6,5,2,7,2,7,5,4,1,1,6,1,4,3,6,2,6,5,6,3,7,2,2,3,1,2,1,1,2,1,3,1,1,6,6,4,3,1,6,6,4,1,2,5,6,3,2,4,4,3,3,6,24,1,3,0,0,1,,,1,,1,1,,,,,,1,1,1,,,1,,,,,1,,,,,1,1,,,,,,,1,,,,,,,,,1,,,1,,1,,Hiking,Sometimes with friends,Explore,40.7855072,-111.736702,-1
R_2TRa7siL4VHfCKF,Default Response Set,Anonymous,,,155.97.94.143,0,6/27/2017 10:03,6/27/2017 11:16,1,Utah_107,1,1,2,6,1,4,1,1,3,2,3,3,1,3,1,5,5,5,2,2,5,1,1,1,4,4,5,5,5,3,4,4,4,4,2,1,1,1,1,2,4,1,4,1,1,4,4,1,1,1,1,1,5,1,1,5,4,4,5,4,5,2,5,5,4,5,6,2,2,7,1,1,1,3,6,1,5,5,5,6,1,6,5,6,3,5,5,7,1,3,1,1,5,1,2,3,1,3,1,5,2,4,9,9,1,7,5,4,5,6,1,1,6,6,2,1,1,6,3,5,6,23,2,3,0,0,1,,1,1,,1,1,,,1,,1,1,,,,,,,,,,,1,1,,1,,1,,1,,1,,,,1,1,1,,,1,1,1,1,1,,1,,,1,in the canyons,boyfriend/friends,relax,40.7855072,-111.736702,-1
R_31vMx34GhMU3X2i,Default Response Set,Anonymous,,,155.97.94.143,0,6/28/2017 12:24,6/28/2017 12:40,1,Utah_108,1,1,3,3,1,8,4,1,2,3,2,2,1,4,1,5,2,5,5,5,2,4,1,2,1,5,5,5,2,4,5,5,5,5,4,2,1,1,1,5,5,5,4,5,1,5,1,1,1,2,2,1,2,3,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,1,4,3,5,1,2,1,3,7,1,2,5,7,5,7,7,7,6,7,2,1,3,1,3,1,1,4,3,1,1,1,5,1,9,2,2,1,2,6,1,5,4,6,3,1,6,6,2,4,1,18,2,2,0,0,1,,,1,,1,1,,,1,,1,1,,,,,,1,,,1,,,,,,,1,,1,1,1,,,,,,1,,,,,1,1,,,1,,,,In the outdoors,My friends,Hiking and Dirt Biking,40.7855072,-111.736702,-1
R_2tbr7qGOwsLYhYo,Default Response Set,Anonymous,,,155.97.94.70,0,6/28/2017 12:46,6/28/2017 13:10,1,Utah_109,1,1,3,4,1,5,2,1,1,3,3,3,1,4,1,5,3,5,2,5,1,2,2,3,3,4,5,5,2,3,2,2,4,3,4,3,1,1,1,5,5,5,4,2,1,1,4,5,1,1,2,1,2,2,1,4,1,3,3,3,4,4,4,2,4,4,3,4,3,4,1,4,2,3,4,4,6,4,3,5,3,5,6,7,5,7,7,5,2,5,1,3,4,1,4,3,1,2,1,4,6,7,5,6,5,6,4,1,4,5,1,1,6,6,2,2,1,1,3,5,1,19,2,3,0,0,1,,,,,1,1,,,1,,,1,1,,,,,,,,,,1,,,,,1,,,,1,,1,,,,,,,1,,1,1,1,,,,1,,wilderness,my friends,"mountain bike, hike, camp, ski",40.7855072,-111.736702,-1
R_1pVXylF9cXJa8ii,Default Response Set,Anonymous,,,155.97.94.70,0,7/5/2017 13:19,7/5/2017 13:41,1,Utah_110,1,1,4,4,1,8,2,1,2,3,1,2,1,4,1,5,3,4,2,4,2,3,2,1,4,4,5,5,4,4,4,4,5,4,3,2,1,1,1,4,4,4,2,2,3,2,3,3,3,4,3,2,2,4,3,5,4,4,4,3,3,4,3,2,4,4,5,5,5,5,3,3,6,3,5,5,3,1,3,5,2,5,4,4,3,6,6,4,3,5,3,2,4,2,2,3,3,1,3,5,4,2,5,6,3,2,2,3,4,4,1,2,6,3,1,2,3,3,5,6,4,28,1,3,0,0,1,,,1,,1,1,1,1,1,1,1,,1,1,1,,,1,1,1,1,1,,,,,1,1,1,1,,1,1,,1,,,1,1,1,,,1,1,1,1,1,,,1,Maine ,family ,outdoor activities ,40.7855072,-111.736702,-1
R_3dSNzXnXbddWZQr,Default Response Set,Anonymous,,,155.97.94.143,0,7/10/2017 13:54,7/10/2017 14:08,1,Utah_111,1,1,4,3,1,2,1,1,2,1,1,5,1,4,1,2,4,3,3,2,3,4,4,4,1,4,2,4,2,2,1,3,1,4,1,2,1,1,5,3,3,3,3,5,3,1,5,1,1,3,1,1,4,3,1,1,3,2,5,3,3,5,1,1,1,3,1,4,1,1,1,3,1,3,1,2,4,4,7,3,1,2,4,7,2,5,1,5,1,3,2,3,3,3,3,3,5,5,3,1,1,1,1,1,1,1,1,2,4,4,4,3,4,4,3,5,4,6,2,4,1,22,1,2,0,0,1,,,1,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,barcelona,friends,just hangout with friends,40.7855072,-111.736702,-1
R_3sBt8pFzHUm1JgB,Default Response Set,Anonymous,,,155.97.94.143,0,7/10/2017 15:10,7/10/2017 15:26,1,Utah_112,1,1,2,2,1,2,2,1,1,2,5,4,1,4,1,3,5,3,3,3,4,4,1,4,1,3,2,2,5,3,2,5,5,2,2,2,1,3,4,2,5,2,1,5,2,5,5,1,3,5,4,2,2,4,3,5,4,5,5,5,5,4,5,3,3,5,5,1,5,4,1,3,5,2,6,6,4,1,1,7,2,1,4,7,3,1,7,6,1,6,2,2,3,1,1,1,3,1,1,2,1,1,5,1,9,2,2,1,4,5,1,3,6,6,5,3,2,3,3,1,1,28,1,3,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,home,friends,play video games and relax,40.7855072,-111.736702,-1
